ISIN,SYMBOL,SERIES,TYPE,HAIRCUT
INF209KA1K96,B380X,DP,OMF,7.5
INF209KA1K88,B380Y,GR,OMF,7.5
INF209K01LQ0,B43G,GR,OMF,7.5
INF209K01XU7,B43NZ,GR,OMF,7.5
INF209K01XV5,B44RDZ,DR,OMF,7.5
INF209K01XW3,B48NZ,DP,OMF,7.5
INF209K01ME4,B501G,GR,GMF,10
INF209K01XX1,B51Z,GR,OMF,7.5
INF209K01XY9,B52DZ,DR,OMF,7.5
INF209KA1LE0,B52Z,DP,OMF,7.5
INF209KA13Z9,B85IFR,DR,OMF,7.5
INF209KA12Z1,B85IFZ,DP,OMF,7.5
INF209K01LU2,B85NDD,DP,OMF,7.5
INF209K01YM2,B85NDZ,DP,OMF,7.5
INF209K01YN0,B85NGZ,GR,OMF,7.5
INF209K01LX6,B85NIF,DP,OMF,7.5
INF209K01LV0,B85NIG,GR,OMF,7.5
INF209K01LN7,B85NIM,DP,OMF,7.5
INF209KA11Z3,B85NIR,DR,OMF,7.5
INF209K01YW1,B91DDZ,DR,OMF,7.5
INF209K01YX9,B91Z,DP,OMF,7.5
INF209K01YY7,B92Z,GR,OMF,7.5
INF209K01ZB2,BADZ,DR,OMF,7.5
INF209K01ZC0,BAGZ,GR,OMF,7.5
INF209KA1LH3,BAZ,DP,OMF,7.5
INF084M01DJ5,BD105,GR,OMF,7.5
INF084M01DL1,BD106,DP,OMF,7.5
INF084M01DK3,BD106P,DP,OMF,7.5
INF789F01OT9,BFIGG,GR,OMF,7.5
INF789F01OU7,BFIMD,DP,OMF,7.5
INF789F01OV5,BFIMR,DR,OMF,7.5
INF789F01PB4,BFWID,DP,OMF,7.5
INF789F01PC2,BFWIR,DR,OMF,7.5
INF251K01894,BNP01G,GR,OMF,7.5
INF251K01910,BNP02DP,DP,OMF,7.5
INF251K01902,BNP02DR,DR,OMF,7.5
INF955L01658,BPGRD,DP,OMF,7.5
INF955L01674,BPGRG,GR,OMF,7.5
INF955L01666,BPGRR,DR,OMF,7.5
INF955L01476,BPLDFR,DR,GMF,10
INF955L01484,BPLFG,GR,GMF,10
INF955L01HG5,BPMFDED1,DP,OMF,7.5
INF955L01HH3,BPMFDED1,DR,OMF,7.5
INF955L01HF7,BPMFDED2,GR,OMF,7.5
INF955L01HD2,BPMFDEDPD,DP,OMF,7.5
INF955L01HE0,BPMFDEDPR,DR,OMF,7.5
INF955L01HC4,BPMFDEGPG,GR,OMF,7.5
INF955L01AE5,BPMFGRD1,GR,OMF,7.5
INF955L01AG0,BPMFGRD2,GR,OMF,7.5
INF955L01AK2,BPMFLFD1R,DR,GMF,10
INF955L01AL0,BPMFLFD2G,GR,GMF,10
INF955L01AN6,BPMFLFD5,DP,GMF,10
INF179KA1JD2,BPRD,DP,OMF,7.5
INF179KA1JE0,BPRDR,DR,OMF,7.5
INF179KA1JC4,BPRG,GR,OMF,7.5
INF209K01090,BSL02,DP,OMF,7.5
INF209K01CB1,BSL02,DR,OMF,7.5
INF209K01108,BSL02G,GR,OMF,7.5
INF209K01132,BSL15,DP,OMF,7.5
INF209K01CD7,BSL15,DR,OMF,7.5
INF209K01140,BSL16,GR,OMF,7.5
INF209K01157,BSL201D,DP,OMF,7.5
INF209K01CE5,BSL201D,DR,OMF,7.5
INF209K01165,BSL201G,GR,OMF,7.5
INF209K01256,BSL205RD,DP,OMF,7.5
INF209K01CI6,BSL205RD,DR,OMF,7.5
INF209K01264,BSL205RG,GR,OMF,7.5
INF209K01314,BSL221D,DP,OMF,7.5
INF209K01CL0,BSL221D,DR,OMF,7.5
INF209K01322,BSL221G,GR,OMF,7.5
INF209K01355,BSL251D,DP,OMF,7.5
INF209K01CN6,BSL251D,DR,OMF,7.5
INF209K01363,BSL251G,GR,OMF,7.5
INF209K01439,BSL291D,DP,OMF,7.5
INF209K01CR7,BSL291D,DR,OMF,7.5
INF209K01447,BSL291G,GR,OMF,7.5
INF209K01454,BSL292D,DP,OMF,7.5
INF209K01CS5,BSL292D,DR,OMF,7.5
INF209K01462,BSL292G,GR,OMF,7.5
INF209K01579,BSL301G,GR,OMF,7.5
INF209K01587,BSL301QD,DP,OMF,7.5
INF209K01CY3,BSL301QD,DR,OMF,7.5
INF209K01603,BSL303G,GR,OMF,7.5
INF209K01611,BSL303MD,DP,OMF,7.5
INF209K01DA1,BSL303MD,DR,OMF,7.5
INF209K01751,BSL313G,GR,OMF,7.5
